method,k,Silhouette,ARI,NMI,Homogeneity,Completeness,V-measure
KMeans,2,0.14473079144954681,0.20365036596570554,0.23531473119502544,0.17771748956197095,0.34814732741542026,0.23531473119502547
KMeans,3,0.12718720734119415,0.4334659104858707,0.47550050556487755,0.42828032329162913,0.5344235419228371,0.4755005055648775
KMeans,4,0.1264554113149643,0.45734387536086785,0.4801025353347219,0.48466969579280367,0.4756206462718073,0.48010253533472186
KMeans,5,0.1046166867017746,0.4107063865582782,0.495599974314405,0.5366341097042991,0.4603954834704789,0.49559997431440495
KMeans,6,0.09038208425045013,0.3336298458894997,0.45020537009421757,0.5168166467353863,0.39880441163626873,0.4502053700942175
KMeans,7,0.09339184314012527,0.3126402277685797,0.46731075091252927,0.554511159346399,0.4038091866722783,0.46731075091252927
KMeans,8,0.08854873478412628,0.25835058579032116,0.41876363884024925,0.5152005701090941,0.3527371441178883,0.41876363884024925
