method,k,Silhouette,ARI,NMI,Homogeneity,Completeness,V-measure
KMeans,3,0.12718720734119415,0.4334659104858707,0.47550050556487755,0.42828032329162913,0.5344235419228371,0.4755005055648775
KMeans,4,0.1264554113149643,0.45734387536086785,0.4801025353347219,0.48466969579280367,0.4756206462718073,0.48010253533472186
DEC,3,0.07443127036094666,0.17808711159547724,0.22321041271930847,0.20199845987658194,0.24940002623798133,0.2232104127193085
DEC,4,0.09422938525676727,0.26946629271269773,0.33687773566166707,0.3400579617518388,0.3337564414639413,0.3368777356616671
