epoch,train_loss,val_loss
1,1.013289451599121,0.9952788949012756
2,1.0073686838150024,0.9924304485321045
3,1.002286672592163,0.9888506531715393
4,0.9966738820075989,0.9841583371162415
5,0.9879047274589539,0.9776687622070312
6,0.9784510731697083,0.9690268635749817
7,0.9672987461090088,0.9578482508659363
8,0.9540006518363953,0.9438237547874451
9,0.9346851110458374,0.9273767471313477
10,0.9236407279968262,0.9090011119842529
11,0.9041516780853271,0.8903414011001587
12,0.8821805715560913,0.8732269406318665
13,0.8642154335975647,0.8581601977348328
14,0.8519798517227173,0.8446973562240601
15,0.8241784572601318,0.8330947756767273
16,0.8159562349319458,0.8236207962036133
17,0.8047429323196411,0.8153011202812195
18,0.790192186832428,0.8069931864738464
19,0.7710103988647461,0.7991737127304077
20,0.7672536373138428,0.790794849395752
21,0.7554663419723511,0.7828707098960876
22,0.7406402826309204,0.7745609283447266
23,0.7313256859779358,0.766786515712738
24,0.7238320708274841,0.7594382762908936
25,0.7132757902145386,0.7528531551361084
26,0.7034933567047119,0.7474437355995178
27,0.7043852210044861,0.74311363697052
28,0.6924306750297546,0.7389317154884338
29,0.6870021820068359,0.7348411679267883
30,0.6692599058151245,0.7309257984161377
31,0.6633565425872803,0.72560054063797
32,0.6613284945487976,0.7198196053504944
33,0.6607174873352051,0.7131450176239014
34,0.642318069934845,0.7082477807998657
35,0.6408692598342896,0.7042320370674133
36,0.6325360536575317,0.7002369165420532
37,0.6366800665855408,0.6965097188949585
38,0.6223978996276855,0.6947581768035889
39,0.630622923374176,0.6932332515716553
40,0.6223638653755188,0.6905346512794495
41,0.6074124574661255,0.687619686126709
42,0.6181793212890625,0.6843137145042419
43,0.5999367237091064,0.6819561719894409
44,0.5980361700057983,0.6798823475837708
45,0.5888267159461975,0.6777569055557251
46,0.5795725584030151,0.6758478879928589
47,0.5824859142303467,0.6728188395500183
48,0.5791454315185547,0.6694353818893433
49,0.5712910890579224,0.6666758060455322
50,0.5627549290657043,0.6655701994895935
51,0.5650540590286255,0.665613055229187
52,0.5637496113777161,0.6653932929039001
53,0.5700972676277161,0.6641716361045837
54,0.5487313866615295,0.6625922918319702
55,0.543190598487854,0.6613406538963318
56,0.5483952760696411,0.6599328517913818
57,0.5439571738243103,0.6591955423355103
58,0.5449135899543762,0.6577714681625366
59,0.5272601246833801,0.6570072770118713
60,0.5268122553825378,0.6564543843269348
61,0.5295406579971313,0.6557767391204834
62,0.5270811915397644,0.6549974679946899
63,0.5324360728263855,0.6539657115936279
64,0.5130807161331177,0.6529449820518494
65,0.5037536025047302,0.6521964073181152
66,0.5193310379981995,0.6505059599876404
67,0.5071383118629456,0.648769199848175
68,0.49352651834487915,0.6471579074859619
69,0.4910663962364197,0.6465768814086914
70,0.5013474225997925,0.6457412242889404
71,0.49256467819213867,0.6444904804229736
72,0.48490819334983826,0.6437211632728577
73,0.49151748418807983,0.6432161331176758
74,0.4880366027355194,0.6425619125366211
75,0.4784702956676483,0.6419095396995544
76,0.482272207736969,0.6406143307685852
77,0.47143176198005676,0.6395015120506287
78,0.47175735235214233,0.638200581073761
79,0.47045281529426575,0.6379799842834473
80,0.47125694155693054,0.639725923538208
81,0.467894047498703,0.6409744620323181
82,0.4723764657974243,0.6419447064399719
83,0.45847088098526,0.6426845192909241
84,0.4526216685771942,0.6422557830810547
85,0.4462265074253082,0.6416869759559631
86,0.46144166588783264,0.6414097547531128
87,0.4531911611557007,0.6390928030014038
88,0.455728143453598,0.6369931101799011
89,0.45049503445625305,0.6349664926528931
90,0.4428720474243164,0.6337541341781616
91,0.4429045617580414,0.6332190632820129
92,0.43409478664398193,0.6341822743415833
93,0.4374716579914093,0.6361335515975952
94,0.4391009509563446,0.6358279585838318
95,0.44088253378868103,0.6346548199653625
96,0.4482024610042572,0.6325601935386658
97,0.4301063120365143,0.6307829022407532
98,0.4298728406429291,0.6297194361686707
99,0.409951388835907,0.6295940279960632
100,0.41743916273117065,0.629568874835968
101,0.4290384352207184,0.629554271697998
102,0.41116863489151,0.6301503777503967
103,0.41844964027404785,0.6299437284469604
104,0.4130087196826935,0.6289665699005127
105,0.4279249906539917,0.6285649538040161
106,0.4060925245285034,0.6280696988105774
107,0.40521371364593506,0.6284893751144409
108,0.4062960147857666,0.6292960047721863
109,0.40386509895324707,0.6308303475379944
110,0.42931264638900757,0.6312670707702637
111,0.4117296040058136,0.630325198173523
112,0.4032084047794342,0.6292122006416321
113,0.4040462076663971,0.627531886100769
114,0.4028468430042267,0.6265033483505249
115,0.39954715967178345,0.6257563829421997
116,0.41171666979789734,0.6244367957115173
117,0.379276841878891,0.6235804557800293
118,0.38405895233154297,0.62375807762146
119,0.390175998210907,0.6243759989738464
120,0.39535999298095703,0.6257501244544983
121,0.39149343967437744,0.6273107528686523
122,0.37183132767677307,0.6288586258888245
123,0.373274028301239,0.6298096179962158
124,0.3789392411708832,0.6296431422233582
125,0.37745949625968933,0.6284666061401367
126,0.3934068977832794,0.6271176934242249
127,0.3829233944416046,0.6255967617034912
128,0.365090936422348,0.6242465972900391
129,0.3832838535308838,0.6230051517486572
130,0.3529641628265381,0.6221112608909607
131,0.3749561607837677,0.6214045286178589
132,0.37648794054985046,0.620879054069519
133,0.35718634724617004,0.6214958429336548
134,0.38855284452438354,0.6223288774490356
135,0.36552152037620544,0.6239396929740906
136,0.3638869822025299,0.6258938312530518
137,0.36686012148857117,0.628750741481781
138,0.35782620310783386,0.6323336362838745
139,0.353854775428772,0.6350356340408325
140,0.36242273449897766,0.635661780834198
141,0.37894484400749207,0.6334682106971741
142,0.3536830246448517,0.6305561661720276
143,0.3826106786727905,0.6267645955085754
144,0.35556507110595703,0.6236786842346191
145,0.35651689767837524,0.6216526627540588
146,0.3658939599990845,0.6199488043785095
147,0.3492133617401123,0.6186695098876953
148,0.34716618061065674,0.617991030216217
149,0.3582458198070526,0.6183642745018005
150,0.3539903163909912,0.6202694773674011
151,0.340339332818985,0.6246650815010071
152,0.37219759821891785,0.6290608644485474
153,0.36375415325164795,0.6312243938446045
154,0.3344370126724243,0.6318919062614441
155,0.35949522256851196,0.6300923228263855
156,0.3618943989276886,0.6263010501861572
157,0.33779579401016235,0.62294602394104
158,0.3447648286819458,0.6194549798965454
159,0.34090521931648254,0.6173416972160339
160,0.341703325510025,0.6156081557273865
161,0.35139593482017517,0.6145960688591003
162,0.32953089475631714,0.6141154170036316
163,0.335878849029541,0.6141828894615173
164,0.3374626040458679,0.6145376563072205
165,0.32638904452323914,0.6162575483322144
166,0.3336569666862488,0.6183311343193054
167,0.334977388381958,0.619642436504364
168,0.31509286165237427,0.6208975315093994
169,0.3449157774448395,0.6210488677024841
