method,Accuracy_mean,Accuracy_std,Balanced Accuracy_mean,Balanced Accuracy_std,F1_mean,F1_std,ROC-AUC_mean,ROC-AUC_std,PR-AUC_mean,PR-AUC_std
LogisticRegression,0.5041666666666667,0.19618762278322588,0.49642857142857133,0.20090277753283595,0.3899676793794441,0.29166231999979586,0.415625,0.17210964965713585,0.5547885447885449,0.139704705458997
RandomForest,0.5066666666666666,0.052258040317043813,0.5017857142857143,0.052972846336397594,0.4108871520636227,0.11501557106865837,0.45,0.14841316261280435,0.5774789595325309,0.15752027489105033
DAE_MLP,0.46749999999999997,0.08135143241243853,0.46964285714285714,0.08531342275422325,0.46295008912655977,0.18540011428279318,0.47232142857142856,0.1018087184217721,0.5861484348984348,0.11344967036433985
