feature,importance,gene_symbol,gene_name
NP_000552,0.0008440716192126274,GSTM1,glutathione S-transferase Mu 1 isoform 1
NP_597717,0.000840745575260371,ZNF418,zinc finger protein 418
NP_001819,0.0008399144280701876,CLC,eosinophil lysophospholipase
NP_000423,0.0008373608579859138,MYL2,"myosin regulatory light chain 2, ventricular/cardiac muscle isoform"
NP_002843,0.0008344348170794547,PTX3,pentraxin-related protein PTX3 precursor
NP_001154829,0.0008338987827301025,FCHO1,FCH domain only protein 1 isoform a
NP_612402,0.000832367455586791,REEP6,receptor expression-enhancing protein 6
NP_075378,0.0008292205748148263,HAPLN4,hyaluronan and proteoglycan link protein 4 precursor
NP_001153171,0.0008276011794805527,FHL1,four and a half LIM domains protein 1 isoform 5
NP_659453,0.0008274842984974384,GLYATL2,glycine N-acyltransferase-like protein 2
NP_000921,0.0008256958099082112,PLAT,tissue-type plasminogen activator isoform 1 preproprotein
NP_060251,0.0008244038326665759,CYP2W1,cytochrome P450 2W1 precursor
NP_694957,0.0008240222232416272,C8ORF84,somatomedin-B and thrombospondin type-1 domain-containing protein precursor
NP_000550,0.0008221882162615657,HBG1,hemoglobin subunit gamma-1
NP_001835,0.0008205953636206686,COL2A1,collagen alpha-1(II) chain isoform 1 precursor
NP_005932,0.0008173631504178047,MMP16,matrix metalloproteinase-16 precursor
NP_056087,0.0008161753066815436,RPGRIP1L,protein fantom isoform a
NP_001493,0.0008160026627592742,GP2,pancreatic secretory granule membrane major glycoprotein GP2 isoform 2 precursor
NP_110381,0.000815770064946264,SAA2,serum amyloid A-2 protein isoform a precursor
NP_056382,0.0008135763346217573,SLITRK5,SLIT and NTRK-like protein 5 precursor
NP_002415,0.0008085443405434489,MMP8,neutrophil collagenase preproprotein
NP_036519,0.0008060159743763506,PADI4,protein-arginine deiminase type-4
NP_277055,0.0008047551964409649,C19ORF33,immortalization up-regulated protein
NP_071745,0.0008019838132895529,ERAP2,endoplasmic reticulum aminopeptidase 2
NP_150229,0.0008013819460757077,ABCC12,multidrug resistance-associated protein 9
NP_054858,0.0007997663924470544,SCN11A,sodium channel protein type 11 subunit alpha
NP_060021,0.000796853331848979,GRID1,"glutamate receptor ionotropic, delta-1 precursor"
NP_443188,0.0007942005177028477,ACSM1,"acyl-coenzyme A synthetase ACSM1, mitochondrial"
NP_009231,0.0007925153477117419,BRCA1,breast cancer type 1 susceptibility protein isoform 2
NP_665736,0.0007905075908638537,GFRA1,GDNF family receptor alpha-1 isoform b preproprotein
NP_002815,0.0007881709607318044,PTMS,parathymosin
NP_112583,0.0007867145468480885,PMFBP1,polyamine-modulated factor 1-binding protein 1 isoform a
NP_001164161,0.000785003649070859,SCUBE2,"signal peptide, CUB and EGF-like domain-containing protein 2 isoform 2 precursor"
NP_006409,0.0007820423343218863,OLFM4,olfactomedin-4 precursor
NP_003648,0.0007790367817506194,BCAS1,breast carcinoma-amplified sequence 1
NP_078849,0.0007782044121995568,C6ORF211,UPF0364 protein C6orf211
NP_001257323,0.0007777988212183118,,cAMP-dependent protein kinase inhibitor beta isoform 2
NP_110422,0.0007770400261506438,STMN4,stathmin-4
NP_542785,0.0007758270367048681,KRT72,"keratin, type II cytoskeletal 72 isoform 1"
NP_002719,0.0007751065422780812,PRG2,bone marrow proteoglycan isoform 1 preproprotein
NP_000549,0.0007749656797386706,,hemoglobin subunit alpha
NP_001129737,0.0007732007652521133,IFFO2,intermediate filament family orphan 2
NP_001258635,0.0007729431381449103,,izumo sperm-egg fusion protein 3 precursor
NP_001129396,0.0007698187837377191,VWDE,von Willebrand factor D and EGF domain-containing protein precursor
NP_001165908,0.0007693700026720762,,retrotransposon-derived protein PEG10 isoform 3
XP_003960637,0.0007682113791815937,,PREDICTED: LOW QUALITY PROTEIN: golgin A6 family-like 3
NP_003136,0.000768199737649411,SSR2,translocon-associated protein subunit beta precursor
NP_000509,0.00076804164564237,HBB,hemoglobin subunit beta
NP_001252526,0.0007648973260074854,,zinc finger protein 211 isoform 3
NP_955387,0.0007623463170602918,ADAMTS18,A disintegrin and metalloproteinase with thrombospondin motifs 18 preproprotein
NP_005226,0.0007620376418344676,ERBB4,receptor tyrosine-protein kinase erbB-4 isoform JM-a/CVT-1 precursor
NP_003237,0.0007617318769916892,THBS1,thrombospondin-1 precursor
NP_001191385,0.0007602052064612508,,RB-associated KRAB zinc finger protein
NP_003098,0.0007599762757308781,SOX4,transcription factor SOX-4
NP_056244,0.0007589978049509227,ABI3BP,target of Nesh-SH3 precursor
NP_008889,0.0007578502409160137,ZNF16,zinc finger protein 16
NP_853515,0.0007569420267827809,KRT27,"keratin, type I cytoskeletal 27"
XP_003960896,0.0007567782886326313,,"PREDICTED: mucin-5AC, partial"
NP_005314,0.0007566410931758583,HIST1H1T,histone H1t
NP_056297,0.0007560501107946038,SLC22A23,solute carrier family 22 member 23 isoform a
NP_002954,0.0007537708152085543,S100A7,protein S100-A7
NP_001814,0.0007504774257540703,CKB,creatine kinase B-type
NP_006399,0.000750069273635745,AGR2,anterior gradient protein 2 homolog precursor
NP_003003,0.0007481063948944211,SFRP1,secreted frizzled-related protein 1 precursor
NP_036246,0.0007471503922715783,CASP14,caspase-14 precursor
NP_666533,0.0007457609171979129,GSTM1,glutathione S-transferase Mu 1 isoform 2
NP_878912,0.0007434938452206552,DHRS2,dehydrogenase/reductase SDR family member 2 isoform 1
NP_006262,0.0007418156019411981,S100A1,protein S100-A1
NP_001180386,0.0007406235090456903,,intermediate filament family orphan 1 isoform 5
NP_001159432,0.0007395577849820256,ALOXE3,epidermis-type lipoxygenase 3 isoform 1 precursor
NP_778253,0.0007379583548754454,KRT77,"keratin, type II cytoskeletal 1b"
NP_008887,0.0007367969956248999,,zinc finger protein 12 isoform b
NP_001185903,0.0007366410573013127,,TMEM110-MUSTN1 fusion protein
NP_002353,0.0007360565941780806,MAGEA4,melanoma-associated antigen 4
NP_001001414,0.0007320489385165274,NCCRP1,F-box only protein 50
NP_000062,0.000731569598428905,CBS,cystathionine beta-synthase
NP_061962,0.0007288256892934442,HES2,transcription factor HES-2
NP_056101,0.000728486804291606,SYNM,synemin isoform B
NP_001191217,0.0007275946554727852,,mucin-1 isoform 12 precursor
NP_006820,0.0007250843336805701,C10ORF116,adipogenesis regulatory factor
NP_003705,0.0007231720956042409,STC2,stanniocalcin-2 precursor
NP_005321,0.0007224531727842987,HBE1,hemoglobin subunit epsilon
NP_079197,0.0007206100854091346,POF1B,protein POF1B
NP_001351,0.0007199683459475636,DHCR7,7-dehydrocholesterol reductase
NP_665698,0.0007157755317166448,TTC21A,tetratricopeptide repeat protein 21A isoform 2
NP_004022,0.0007141894311644137,IRF7,interferon regulatory factor 7 isoform d
NP_057387,0.0007129969308152795,WBP5,WW domain-binding protein 5
NP_115568,0.0007105208351276815,PPP1R1B,protein phosphatase 1 regulatory subunit 1B isoform 1
NP_443142,0.0007079475908540189,SLITRK1,SLIT and NTRK-like protein 1 precursor
NP_001177915,0.0007076797774061561,,cysteine-rich secretory protein 3 isoform 2 precursor
NP_149974,0.0007059248746372759,C20ORF114,BPI fold-containing family B member 1 precursor
NP_001264262,0.0007048706174828112,,ankyrin repeat domain-containing protein 62
NP_001136155,0.000704824342392385,CCDC121,coiled-coil domain-containing protein 121 isoform 2
NP_001171890,0.0007044870289973915,,retrotransposon-derived protein PEG10 isoform 5
NP_006094,0.0007019545882940292,WFDC2,WAP four-disulfide core domain protein 2 precursor
NP_002999,0.0006986473454162478,SEMG2,semenogelin-2 precursor
NP_001128504,0.0006976241711527109,FAM176A,protein eva-1 homolog A
NP_776159,0.0006971309194341302,ZCCHC12,zinc finger CCHC domain-containing protein 12
NP_066287,0.000692752655595541,SCN2A,sodium channel protein type 2 subunit alpha isoform 1
NP_001030024,0.0006911446689628065,SMOC1,SPARC-related modular calcium-binding protein 1 isoform 1 precursor
NP_003406,0.0006899498985148966,ZNF268,zinc finger protein 268 isoform a
NP_077078,0.0006898076389916241,,tryptase beta-2 precursor
NP_005082,0.0006897797575220466,PGLYRP1,peptidoglycan recognition protein 1 precursor
NP_055883,0.0006874405080452561,PEG10,retrotransposon-derived protein PEG10 isoform 1
NP_775886,0.000687028281390667,VWA3A,von Willebrand factor A domain-containing protein 3A precursor
NP_438169,0.000686758547089994,N4BP2L1,NEDD4-binding protein 2-like 1 isoform 1
NP_077289,0.0006852473015896976,NOL12,nucleolar protein 12
NP_001231693,0.0006849878118373454,,TNFAIP3-interacting protein 3 isoform 3
NP_001015038,0.0006814684020355344,PAGE2B,putative G antigen family E member 3
NP_002142,0.0006779726245440543,HPN,serine protease hepsin precursor
NP_056045,0.0006757365190424025,ARAP2,"arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 2"
NP_001071062,0.0006753703346475959,C14ORF73,exocyst complex component 3-like protein 4
NP_776245,0.0006751213222742081,TPPP2,tubulin polymerization-promoting protein family member 2
NP_000660,0.0006733155460096896,,alcohol dehydrogenase 1C
NP_963890,0.0006731473840773106,CACNB2,voltage-dependent L-type calcium channel subunit beta-2 isoform 2
NP_690001,0.0006727557047270238,ANKS1B,ankyrin repeat and sterile alpha motif domain-containing protein 1B isoform a
NP_001120729,0.00067042006412521,SLC39A10,zinc transporter ZIP10 precursor
XP_003960567,0.0006703661056235433,,"PREDICTED: LOW QUALITY PROTEIN: mucin-19, partial"
NP_000894,0.0006699960795231164,NQO1,NAD(P)H dehydrogenase
NP_258259,0.0006685533444397151,KRT71,"keratin, type II cytoskeletal 71"
NP_001138612,0.0006680298829451203,,putative uncharacterized protein CXorf49
NP_001264237,0.0006679745274595916,,golgin subfamily A member 8O
NP_058519,0.00066709442762658,,microtubule-associated protein tau isoform 1
NP_003970,0.0006638633785769343,GPRC5A,retinoic acid-induced protein 3
NP_067650,0.0006637976039201021,TMEM35,transmembrane protein 35
NP_001258,0.000663046317640692,CHAD,chondroadherin precursor
NP_001258745,0.0006627397960983217,,DNA cross-link repair 1A protein
NP_001638,0.0006603503716178238,APOD,apolipoprotein D precursor
NP_001245177,0.0006576706655323505,,transcription factor Sp6
NP_009009,0.0006575824227184057,LDB3,LIM domain-binding protein 3 isoform 1
NP_001882,0.000656086893286556,CSN2,beta-casein precursor
NP_000590,0.0006548680830746889,IGFBP5,insulin-like growth factor-binding protein 5 precursor
NP_009044,0.0006543152267113328,TCHH,trichohyalin
NP_620419,0.0006509096128866076,SDR16C5,epidermal retinol dehydrogenase 2
XP_003960891,0.0006506065838038921,,PREDICTED: mucin-16-like
NP_061909,0.0006500708987005055,HMGCLL1,"3-hydroxymethyl-3-methylglutaryl-CoA lyase, cytoplasmic isoform a"
NP_001153174,0.0006500403396785259,FHL1,four and a half LIM domains protein 1 isoform 1
NP_694573,0.000649485329631716,ZNF75A,zinc finger protein 75A
NP_005255,0.0006477613933384418,GFRA1,GDNF family receptor alpha-1 isoform a preproprotein
NP_065723,0.0006449849461205304,S100A14,protein S100-A14
NP_001176,0.0006437374977394938,,zinc-alpha-2-glycoprotein precursor
NP_003055,0.0006435202085413039,SLPI,antileukoproteinase precursor
NP_001013768,0.0006431952933780849,ZNF107,zinc finger protein 107
NP_005603,0.0006411284557543695,,RE1-silencing transcription factor
NP_001264156,0.0006409395718947053,,leucine-rich repeat-containing G-protein coupled receptor 5 isoform 3 precursor
NP_001034792,0.0006399582489393651,,neuroblastoma breakpoint family member 10
NP_001092878,0.0006380592240020633,EIF4E1B,eukaryotic translation initiation factor 4E type 1B
XP_003959988,0.0006365348235704005,,PREDICTED: golgin subfamily A member 8-like protein 2-like
NP_001258862,0.0006365317385643721,,centrosomal protein of 164 kDa isoform 2
NP_001138450,0.0006362056592479348,MTHFD2L,probable bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase 2
NP_004336,0.0006355401128530502,,cathelicidin antimicrobial peptide preproprotein
NP_997222,0.0006355240475386381,PAGE2,P antigen family member 2
