feature,importance,gene_symbol,gene_name
NP_055006,0.0005482470151036978,SCN8A,sodium channel protein type 8 subunit alpha isoform 1
NP_003099,0.0005466099828481674,SOX11,transcription factor SOX-11
NP_002768,0.0005460518877953291,PRTN3,myeloblastin precursor
NP_653269,0.0005457925726659596,WDR66,WD repeat-containing protein 66 isoform 1
NP_005005,0.0005456284852698445,OMD,osteomodulin precursor
NP_444513,0.000545620743650943,DCD,dermcidin preproprotein
NP_148935,0.0005454726633615792,OGN,mimecan preproprotein
NP_078902,0.0005453666090033948,VTCN1,V-set domain-containing T-cell activation inhibitor 1 isoform 1 precursor
NP_116175,0.000545351707842201,ZC3H10,zinc finger CCCH domain-containing protein 10
NP_000838,0.0005452772020362318,GSTA3,glutathione S-transferase A3
NP_055938,0.0005440967506729066,FRMD4B,FERM domain-containing protein 4B
NP_057317,0.0005435591447167099,PADI3,protein-arginine deiminase type-3
NP_002448,0.0005428297445178032,MUC2,mucin-2 precursor
NP_001153651,0.0005410969606600702,NAT1,arylamine N-acetyltransferase 1 isoform a
NP_001120852,0.0005405819974839687,SAA2,serum amyloid A-2 protein isoform b precursor
NP_001138600,0.0005404956755228341,AKD1,adenylate kinase domain-containing protein 1 isoform 1
NP_060247,0.0005380085785873234,MKS1,Meckel syndrome type 1 protein isoform 1
NP_001073954,0.0005379485664889216,,zinc finger protein 275
NP_056994,0.000537174113560468,C2ORF86,WD repeat-containing and planar cell polarity effector protein fritz homolog
NP_002575,0.0005362327792681754,PAX7,paired box protein Pax-7 isoform 1
NP_001182225,0.0005353217129595578,,mirror-image polydactyly gene 1 protein
NP_005098,0.0005332142463885248,EXOG,"nuclease EXOG, mitochondrial isoform 1 precursor"
NP_037399,0.0005320050986483693,GLS2,"glutaminase liver isoform, mitochondrial"
NP_001164432,0.0005315985181368887,IGSF1,immunoglobulin superfamily member 1 isoform 3 precursor
NP_001266,0.000530801247805357,CHGA,chromogranin-A preproprotein
NP_003226,0.0005301604978740215,TG,thyroglobulin precursor
NP_002643,0.000529403449036181,PIP,prolactin-inducible protein precursor
NP_665683,0.0005284214857965708,GSTA1,glutathione S-transferase A1
NP_001129575,0.0005224695196375251,TMEM132C,transmembrane protein 132C precursor
NP_065708,0.0005222510662861168,ZNF304,zinc finger protein 304
NP_008853,0.0005214665434323251,SCN3A,sodium channel protein type 3 subunit alpha isoform 1
NP_003298,0.0005191665259189904,TRPM2,transient receptor potential cation channel subfamily M member 2
NP_085135,0.0005170257645659149,ASXL3,putative Polycomb group protein ASXL3
NP_002955,0.00051664630882442,S100A8,protein S100-A8
NP_006505,0.0005150358192622662,SCN10A,sodium channel protein type 10 subunit alpha
NP_065868,0.0005148579366505146,KIAA1407,coiled-coil domain-containing protein KIAA1407
NP_071376,0.0005112905637361109,TNN,tenascin-N precursor
NP_002763,0.0005103657604195178,PRSS7,enteropeptidase precursor
NP_006344,0.000510116689838469,HMGN4,high mobility group nucleosome-binding domain-containing protein 4
NP_005942,0.0005095529486425221,MT1H,metallothionein-1H
NP_001020279,0.0005080371047370136,AFF3,AF4/FMR2 family member 3 isoform 2
NP_001159349,0.0005070240003988147,,"ATP synthase subunit g 2, mitochondrial"
NP_705838,0.0005067427991889417,CMYA5,cardiomyopathy-associated protein 5
NP_783302,0.0005062396521680057,CNTN4,contactin-4 isoform c
NP_001181927,0.0005058785318396986,,centrosomal protein of 152 kDa isoform 1
NP_001076804,0.0005058574606664479,ZFP112,zinc finger protein 112 isoform 1
NP_963891,0.0005000404198653996,CACNB2,voltage-dependent L-type calcium channel subunit beta-2 isoform 4
NP_001116539,0.000497835804708302,MAPT,microtubule-associated protein tau isoform 5
NP_653229,0.0004967940622009337,TBC1D20,TBC1 domain family member 20
NP_004869,0.0004963940591551363,PTGES,prostaglandin E synthase
NP_542193,0.0004932493320666254,BRI3BP,BRI3-binding protein precursor
NP_001167561,0.0004932303563691676,,sodium bicarbonate transporter-like protein 11 isoform 1
NP_001161362,0.0004927539266645908,EGFL6,epidermal growth factor-like protein 6 isoform 2 precursor
NP_001437,0.0004905088571831584,FABP7,"fatty acid-binding protein, brain"
NP_067007,0.0004904604866169393,C6ORF47,uncharacterized protein C6orf47
