,NP_057427,NP_002408,NP_000415,NP_000413,NP_000517,NP_004439,NP_005219,NP_058519,NP_058518,NP_001116539,NP_061155,NP_001035932,NP_077006,NP_000917,NP_065178,NP_006836,NP_006614,NP_001784,NP_006092,NP_001153651,NP_001159403,NP_000116,NP_004314,NP_060601,NP_005931,NP_003003,NP_113611,NP_002002,NP_004487,NP_008950,NP_114172,NP_001062,NP_001444,NP_057547,NP_054895,NP_001246,NP_055606,NP_036451,NP_000624,NP_569082,NP_001159,NP_001229,NP_002458,PAM50 mRNA
TCGA-C8-A131,0.764109274,1.743696459,0.65886437,2.496602311,1.172945248,0.197405944,1.245807104,-5.372478214,-5.522249808,-5.461531594,2.419692574,-1.223400262,-1.263879071,-1.514847689,2.290160384,2.456123502,2.585655692,1.921803219,1.326764723,-6.947103895,0.3552733,-2.251562018,-1.356980333,0.630529203,0.739821988,-0.102137245,0.48480549,1.537254531,-0.595978718,-0.235717316,1.322716842,5.492034198,0.04334317550000001,-0.387665432,-0.053562674,2.298256146,0.901737225,-1.919635782,-2.312280232,2.395405288,0.865306297,0.108352563,-2.035926581,Basal-like
TCGA-BH-A18N,-0.649156914,-3.465197756,-3.507123922,-6.389547861,-3.88445942,-1.606471046,-1.092875508,3.505027405,3.539965877,3.742609015,-2.797872941,0.688986563,0.706455799,5.688681904,-0.240376792,-1.623940282,-1.4771987,-1.078900119,-1.662372601,-3.196171522,-3.779644004,3.417681225,0.640072702,-3.678322435,-0.883244676,-2.846786802,-1.32696327,0.974856205,2.306637816,-2.983046842,-1.686829532,-2.039708099,0.04334317550000001,1.904845388,-4.104571793,-2.385598971,-0.373142985,1.7650915,1.080297449,-0.538113013,-0.033554307,0.088044845,-2.035926581,Luminal A
TCGA-A2-A0YF,-1.399735203,-1.51330076,-1.183960644,-1.346737943,-0.498781781,-2.421825219,-1.903209174,-1.077966124,-0.971971603,-1.077966124,-0.684272192,4.096837772,4.104408809,-3.171357897,0.561163421,-1.051467494,-2.508892146,-2.081128547,-0.207296851,1.20091606,-1.411091758,2.117011556,5.554262425,-0.37007415,-2.050844398,0.920787685,0.731511757,1.000283576,1.163060874,-2.826875707,-0.926545381,-1.062824049,0.04334317550000001,2.143510186,-1.149890977,-1.271027571,-0.881119158,3.017964977,2.253290225,-0.538113013,-2.626243222,1.029442255,-2.035926581,Luminal A
TCGA-E2-A158,-0.781776657,-1.588474221,-3.732945245,0.701650529,0.213150338,-2.531862205,-0.27759068,-4.456732226,-4.665129096,-4.665129096,0.154888847,-2.829892139,-2.829892139,-4.411915694,0.75991202,-0.154345219,1.308914529,-0.060230503,-1.725164642,-3.231000094,-1.577270088,-3.506621762,0.605294987,0.181778766,-1.734127948,1.860157864,-1.122382295,-0.241737455,-2.668552626,-0.602510532,-1.043953366,-1.617604967,1.831027118,-2.155403342,-0.183475964,-0.732478473,-0.11405044,-0.611473838,0.690446396,-0.538113013,-0.033554307,3.240507028,-2.090419372,Basal-like
TCGA-AN-A0FK,-1.381394381,-4.62044036,-3.169128695,-3.341251912,-2.187243985,-4.037568559,-3.266925977,2.413140159,2.745650917,2.733915244,-2.977446023,1.423431665,1.423431665,4.58815171,-0.30562428,-3.008741153,-2.496283396,-0.192179433,-2.578433112,7.995409013,-2.01903266,2.002391575,0.351573455,-3.278661651,2.127572095,-3.630731866,-1.048883623,-2.504107178,1.290427362,-2.711437416,-3.482079998,-1.893852139,0.04334317550000001,0.425899389,-2.35545531,-5.461496985,-0.141324846,-0.035703782,0.821000408,-0.356478866,-2.531490417,1.029442255,-2.035926581,Luminal B
TCGA-A8-A079,2.43069137,0.705999488,-5.562909248,-4.316382418,-2.624667436,-2.766468107,-5.051767294,2.038266258,2.038266258,2.074540848,1.332560593,2.061350088,2.061350088,1.642543455,-0.777961023,2.694506572,3.660729749,-1.183576896,2.262509179,0.280597475,0.705999488,3.80253042,0.013484583,0.376230486,0.010186893,-5.793747549,0.250918265,1.467765883,2.638445842,3.822316561,3.212243906,2.816521103,0.04334317550000001,1.055554631,1.642543455,2.645041222,1.075340771,0.498245016,-0.847212513,-1.569406629,2.272402249,1.029442255,-2.035926581,Luminal B
TCGA-E2-A15A,0.229658423,-0.441373071,-1.183981258,-2.95103086,-1.649229761,-4.682292115,-5.152014161,-4.15888755,-4.673345029,-4.364670541,1.209364405,-0.530843937,-0.530843937,-5.849886915,-0.150592757,-0.047701261,-2.57077968,-0.750047558,-1.613441414,0.677012753,1.169102515,-3.514697315,-0.54873811,0.623330233,1.303308814,-2.101057634,-0.387690552,0.082031495,-0.830571338,2.94062566,-0.477161417,-1.273452124,-0.253484253,2.202491017,0.140187557,-2.655777002,-0.11405044,0.511491651,-2.266578736,-0.538113013,-0.033554307,1.858028183,-4.315461565,Luminal B
TCGA-AO-A12B,-1.108806815,-1.507899053,-4.121398918,-3.916309851,-4.528805578,-1.49127021,-2.386456272,2.025730139,2.017415717,2.050673404,-1.992906981,0.299101914,0.301873388,3.829959632,-0.31893676,-1.610443586,-1.125435658,-1.818304127,-1.560557057,-3.481188453,-0.524025827,3.960218904,3.048403999,-0.055646742,-2.275597317,-2.588773865,1.141629972,-3.389729815,1.607237584,-1.635386851,-2.646974816,-0.305079391,0.04334317550000001,-0.387665432,-0.518482879,-1.064463233,0.213186224,-0.360508868,-1.643701273,0.069069582,-2.256197,-0.396538029,-2.035926581,Luminal B
TCGA-C8-A12Z,-2.153013301,-2.012368394,-5.109681785,-4.803388432,-3.937640895,5.63558909,-2.181142282,-8.83208365,-8.882090728,-8.882090728,-3.518831617,-0.818449408,-0.818449408,-5.087803688,-1.021603162,-0.827825735,2.491394064,-2.293658208,-1.899852469,-3.718859929,0.722393681,-2.874990489,-0.155855625,-5.434727791,1.11619942,-0.380887476,-3.106273224,2.39450535,-0.130852086,1.72253524,2.71017503,-3.415692019,0.04334317550000001,-2.574948021,0.025420032,-5.097180015,-0.11405044,-4.403331809,-0.971596084,-0.538113013,0.769275317,1.029442255,-2.035926581,HER2-enriched
TCGA-A8-A09G,-1.18370531,-1.312072496,-2.614464572,-2.199945534,-1.718568585,2.10302952,-3.074446989,-3.860696005,-3.823255575,-3.828604208,-1.92181663,1.461193589,1.461193589,-9.222700344,-0.491057368,-0.124676024,0.487742427,-1.568806868,-0.603378656,-6.593847344,-0.234322995,-5.861084656,0.752499748,-1.30137523,-3.363273158,-0.940342519,-2.555629612,1.680487532,2.279534401,-0.060492431,-1.659733625,-0.015029052,0.04334317550000001,-2.956777069,-1.48590306,-1.598224348,0.747151116,-0.210764459,-0.813991208,-0.538113013,0.661572992,1.029442255,-2.035926581,HER2-enriched
